"resId","resName","flightId","avSeats","totalSeats","type","orig","origDate","dest","destDate"
"R-149921331","1 passenger from LHEN: 2020-05-07T13:50 to 2020-06-22","F-234410227","19","20","shuttle","LHEN","2020-05-07T13:50","ISS","2020-05-07T21:50"
"R-149921331","1 passenger from LHEN: 2020-05-07T13:50 to 2020-06-22","F-290247482","0","20","transport","ISS","2020-05-15T08:10","AMB","2020-05-15T16:10"
"R-149921331","1 passenger from LHEN: 2020-05-07T13:50 to 2020-06-22","F-109783200","2","20","shuttle","AMB","2020-05-19T09:20","VOS","2020-05-20T09:20"
"R-149921331","1 passenger from LHEN: 2020-05-07T13:50 to 2020-06-22","F-973372705","8","20","shuttle","VOS","2020-05-26T16:00","TMM","2020-05-27T16:00"
"R-149921331","1 passenger from LHEN: 2020-05-07T13:50 to 2020-06-22","F-69838074","11","20","shuttle","TMM","2020-05-29T18:00","ISS","2020-05-30T18:00"
"R-149921331","1 passenger from LHEN: 2020-05-07T13:50 to 2020-06-22","F-135174263","2","20","transport","ISS","2020-06-21T18:20","LHEN","2020-06-22T02:20"
"R-760506353","4 passengers from LHEN: 2020-07-12T08:20 to 2020-08-21","F-750325994","12","20","shuttle","LHEN","2020-07-12T08:20","ISS","2020-07-12T16:20"
"R-760506353","4 passengers from LHEN: 2020-07-12T08:20 to 2020-08-21","F-538234297","10","20","transport","ISS","2020-08-08T17:50","AMB","2020-08-09T01:50"
"R-760506353","4 passengers from LHEN: 2020-07-12T08:20 to 2020-08-21","F-733101050","9","20","shuttle","AMB","2020-08-10T09:50","VOS","2020-08-11T09:50"
"R-760506353","4 passengers from LHEN: 2020-07-12T08:20 to 2020-08-21","F-898181488","16","20","shuttle","VOS","2020-08-12T19:40","TMM","2020-08-13T19:40"
"R-760506353","4 passengers from LHEN: 2020-07-12T08:20 to 2020-08-21","F-894412997","16","20","shuttle","TMM","2020-08-15T11:30","ISS","2020-08-16T11:30"
"R-760506353","4 passengers from LHEN: 2020-07-12T08:20 to 2020-08-21","F-173760435","3","20","transport","ISS","2020-08-21T12:50","LHEN","2020-08-21T20:50"
"R-974415188","2 passengers from SJCR: 2020-08-08T19:20 to 2020-08-27","F-408534807","18","20","shuttle","SJCR","2020-08-08T19:20","ISS","2020-08-09T03:20"
"R-974415188","2 passengers from SJCR: 2020-08-08T19:20 to 2020-08-27","F-457732496","13","20","transport","ISS","2020-08-14T18:40","TMM","2020-08-15T02:40"
"R-974415188","2 passengers from SJCR: 2020-08-08T19:20 to 2020-08-27","F-975337431","9","20","shuttle","TMM","2020-08-17T19:20","VOS","2020-08-18T19:20"
"R-974415188","2 passengers from SJCR: 2020-08-08T19:20 to 2020-08-27","F-424247044","17","20","shuttle","VOS","2020-08-23T20:10","AMB","2020-08-24T20:10"
